ID,title,company,location,link,source,date_posted,work_type,employment_type
286,Data Analyst,Redwood Materials,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-at-redwood-materials-4210125598,LinkedIn,16-04-2025,N/A,N/A
294,Data Analyst I,Aditi Consulting,"Lincolnshire, IL",https://www.linkedin.com/jobs/view/data-analyst-i-at-aditi-consulting-4211743647,LinkedIn,16-04-2025,N/A,N/A
297,Data Analyst,Hanson Lee,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-hanson-lee-4211491133,LinkedIn,16-04-2025,N/A,N/A
298,Jr. Data & BI Analyst,A Place for Mom,"New York, NY",https://www.linkedin.com/jobs/view/jr-data-bi-analyst-at-a-place-for-mom-4210996235,LinkedIn,15-04-2025,N/A,N/A
299,Data Analyst,Amplytics,San Francisco Bay Area,https://www.linkedin.com/jobs/view/data-analyst-at-amplytics-4211939141,LinkedIn,17-04-2025,N/A,N/A
300,Data Analyst,ShimentoX,United States,https://www.linkedin.com/jobs/view/data-analyst-at-shimentox-4209347797,LinkedIn,15-04-2025,N/A,N/A
301,Data Analyst,Simera,United States,https://www.linkedin.com/jobs/view/data-analyst-at-simera-4211746458,LinkedIn,16-04-2025,N/A,N/A
377,"Data Scientist, Product Analytics",Meta,"Seattle, WA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4187900500,LinkedIn,14-04-2025,N/A,N/A
378,"Data Scientist, Product, Sustainability",Google,"Mountain View, CA",https://www.linkedin.com/jobs/view/data-scientist-product-sustainability-at-google-4208949786,LinkedIn,15-04-2025,N/A,N/A
379,"Data Scientist, Product Analytics",Meta,"Seattle, WA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120825473,LinkedIn,14-04-2025,N/A,N/A
380,"Data Scientist, Product Analytics",Meta,United States,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120823523,LinkedIn,14-04-2025,N/A,N/A
381,Fraud Data Scientist,ID.me,"Mountain View, CA",https://www.linkedin.com/jobs/view/fraud-data-scientist-at-id-me-4121538629,LinkedIn,16-04-2025,N/A,N/A
382,"Data Scientist, Product Analytics",Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4129160710,LinkedIn,14-04-2025,N/A,N/A
383,Senior Data Scientist,Roku,"Austin, TX",https://www.linkedin.com/jobs/view/senior-data-scientist-at-roku-4187177485,LinkedIn,11-04-2025,N/A,N/A
384,Senior Data Scientist,Roku,"Santa Monica, CA",https://www.linkedin.com/jobs/view/senior-data-scientist-at-roku-4165611239,LinkedIn,11-04-2025,N/A,N/A
385,Data Scientist,Paramount,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-at-paramount-4089557959,LinkedIn,11-04-2025,N/A,N/A
386,Machine Learning Engineer (L5) - Content & Media ML Foundations,Netflix,United States,https://www.linkedin.com/jobs/view/machine-learning-engineer-l5-content-media-ml-foundations-at-netflix-4165695975,LinkedIn,11-04-2025,N/A,N/A
387,Data Scientist - Last Mile,Veho,United States,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,LinkedIn,15-04-2025,N/A,N/A
388,"Partner Data Scientist, Growth Partnerships",Meta,"New York, NY",https://www.linkedin.com/jobs/view/partner-data-scientist-growth-partnerships-at-meta-4191408767,LinkedIn,14-04-2025,N/A,N/A
389,Data Scientist,Elder Research,"Arlington, VA",https://www.linkedin.com/jobs/view/data-scientist-at-elder-research-4128210115,LinkedIn,14-04-2025,N/A,N/A
390,Jr. Data Scientist,Matlen Silver,United States,https://www.linkedin.com/jobs/view/jr-data-scientist-at-matlen-silver-4211760489,LinkedIn,16-04-2025,N/A,N/A
391,"Data Scientist, Product Analytics",Meta,"Burlingame, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120825485,LinkedIn,14-04-2025,N/A,N/A
392,"Data Scientist, Product Analytics",Meta,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4133149645,LinkedIn,14-04-2025,N/A,N/A
393,Data Scientist,Disney Entertainment,"California, United States",https://www.linkedin.com/jobs/view/data-scientist-at-disney-entertainment-4211477679,LinkedIn,16-04-2025,N/A,N/A
394,"Data Scientist, Marketing Science",TikTok,"New York, United States",https://www.linkedin.com/jobs/view/data-scientist-marketing-science-at-tiktok-4165758864,LinkedIn,10-04-2025,N/A,N/A
395,"Data Scientist, Product Analytics",Meta,"Bellevue, WA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120820947,LinkedIn,14-04-2025,N/A,N/A
396,AI/ML Engineer,ConglomerateIT,"Dallas, TX",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-conglomerateit-4210008773,LinkedIn,14-04-2025,N/A,N/A
397,Data Scientist- Customer Lifecycle and Engagement,Robinhood,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-customer-lifecycle-and-engagement-at-robinhood-4192321004,LinkedIn,17-04-2025,N/A,N/A
398,Data Scientist,Meta,"Bellevue, WA",https://www.linkedin.com/jobs/view/data-scientist-at-meta-4145816806,LinkedIn,14-04-2025,N/A,N/A
399,Cientista de Dados II - Ãrea PrevenÃ§Ã£o a Fraudes,ItaÃº Unibanco,"SÃ£o Paulo, SÃ£o Paulo, Brazil",https://br.linkedin.com/jobs/view/cientista-de-dados-ii-%C3%A1rea-preven%C3%A7%C3%A3o-a-fraudes-at-ita%C3%BA-unibanco-4211043939,LinkedIn,16-04-2025,N/A,N/A
400,Data Scientist,Raspberry Pi Foundation,"Cambridge, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-scientist-at-raspberry-pi-foundation-4207343045,LinkedIn,15-04-2025,N/A,N/A
401,Graduate Data Scientist,Zazzle,"Cork, County Cork, Ireland",https://ie.linkedin.com/jobs/view/graduate-data-scientist-at-zazzle-4210967410,LinkedIn,15-04-2025,N/A,N/A
402,Data Scientist,DoorDash,"New York, United States",https://www.linkedin.com/jobs/view/data-scientist-at-doordash-4208983059,LinkedIn,15-04-2025,N/A,N/A
403,"Staff Data Scientist, Strategy & Insights",LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/staff-data-scientist-strategy-insights-at-linkedin-4210157476,LinkedIn,17-04-2025,N/A,N/A
404,Data Scientist I,Pinterest,United States,https://www.linkedin.com/jobs/view/data-scientist-i-at-pinterest-4211733043,LinkedIn,16-04-2025,N/A,N/A
405,Data Scientist,NielsenIQ,Lisbon Metropolitan Area,https://pt.linkedin.com/jobs/view/data-scientist-at-nielseniq-4210020667,LinkedIn,14-04-2025,N/A,N/A
406,Data Scientist/Analyst,Sony Interactive Entertainment,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/data-scientist-analyst-at-sony-interactive-entertainment-4210403100,LinkedIn,17-04-2025,N/A,N/A
407,GEN AI/ML,technology,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/gen-ai-ml-at-technology-4211417708,LinkedIn,16-04-2025,N/A,N/A
408,Data Scientist,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-at-exl-4208133522,LinkedIn,16-04-2025,N/A,N/A
409,Data Scientist,CalypsoAI,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/data-scientist-at-calypsoai-4210651756,LinkedIn,15-04-2025,N/A,N/A
410,Data Scientist,OCBC Indonesia,"Tangerang, Banten, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-at-ocbc-indonesia-4208147179,LinkedIn,16-04-2025,N/A,N/A
